s.no,Name,Location,Year,KmDriven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,doubleKmDriven
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,200300,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.12 Lakh,8.63,100150
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,104000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5.0,,4.85,52000
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,170000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5.0,,28.0,85000
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,124000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,5.0,62000
40,Maruti Alto LXi,Delhi,2008,180000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.25,90000
41,Tata Nano LX SE,Kochi,2014,39396,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,1.53,19698
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,88132,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,,5.58,44066
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,141948,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5.0,,4.74,70974
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,92748,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5.0,23.64 Lakh,8.85,46374
45,Toyota Corolla Altis G AT,Mumbai,2016,208004,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,,10.11,104002
46,Hyundai Elantra CRDi,Ahmedabad,2008,232020,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5.0,,4.25,116010
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,141408,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7.0,18.64 Lakh,10.95,70704
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,150000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,,3.85,75000
49,Mahindra Thar CRDe AC,Jaipur,2012,151600,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6.0,,5.5,75800
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,27296,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,21.43,13648
51,Maruti Swift LDI,Delhi,2014,104000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.25,52000
52,Maruti Swift Ldi BSIV,Kolkata,2014,106000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,,3.3,53000
53,Maruti Swift VDI,Delhi,2013,131300,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,3.85,65650
54,Hyundai Grand i10 Sportz,Chennai,2015,108000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5.0,,3.6,54000
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,78000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,,3.99,39000
56,Renault KWID RXT,Kochi,2017,33084,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,3.3,16542
57,Hyundai i10 Asta,Kolkata,2010,64000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.07,32000
58,Nissan X-Trail SLX AT,Hyderabad,2010,243624,Diesel,Automatic,First,9.49 km/kg,1995 CC,147.6 bhp,5.0,,7.75,121812
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,78600,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5.0,,2.25,39300
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,44000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,19.34 Lakh,16.5,22000
61,Ford Figo Diesel Titanium,Bangalore,2010,144000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.75,72000
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,116000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,,26.7,58000
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,130000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5.0,,10.0,65000
64,Tata Indica V2 eLS,Chennai,2016,356000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,,2.5,178000
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,131328,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,,13.5,65664
66,Honda City ZX CVT,Mumbai,2007,126000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5.0,,1.85,63000
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,61476,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,49.14 Lakh,35.67,30738
68,Maruti Ertiga SHVS VDI,Pune,2016,126000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,,8.15,63000
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,26000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5.0,11.81 Lakh,10.5,13000
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,146000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5.0,,14.5,73000
71,Mahindra XUV500 W8 4WD,Mumbai,2015,222916,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,9.65,111458
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,90356,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5.0,,3.48,45178
73,Nissan Terrano XV D Pre,Kochi,2015,112132,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5.0,16.65 Lakh,6.92,56066
74,Honda Brio VX AT,Coimbatore,2016,74600,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5.0,,6.46,37300
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,112000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5.0,,29.5,56000
77,Toyota Innova 2.0 G1,Chennai,2006,460000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8.0,,4.5,230000
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,208000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,11.75,104000
80,Maruti Swift VDI,Jaipur,2012,190200,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,3.75,95100
81,Tata Zest Revotron 1.2T XE,Pune,2017,140000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,6.67 Lakh,4.5,70000
82,Honda Amaze SX i-VTEC,Kochi,2016,109888,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,4.82,54944
83,Ford Figo Diesel ZXI,Hyderabad,2012,281348,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.8,140674
84,Maruti Ritz VDi,Jaipur,2013,199276,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.11,99638
85,Honda City i VTEC E,Delhi,2009,104000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,3.25,52000
86,BMW 5 Series 2003-2012 525d,Delhi,2011,150000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5.0,,13.9,75000
87,Hyundai i10 Sportz 1.2,Pune,2009,191960,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.25,95980
88,Hyundai Grand i10 Sportz,Bangalore,2016,32000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.75,16000
90,Honda Amaze SX i-VTEC,Mumbai,2016,75796,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,5.0,37898
91,Toyota Fortuner 4x2 Manual,Delhi,2014,214000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,16.5,107000
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,193468,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,39.58,96734
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,114000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,5.5,57000
94,Mahindra XUV500 W8 2WD,Delhi,2014,116000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,8.1,58000
95,Honda Amaze SX i-DTEC,Kolkata,2015,60000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.5,30000
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,68424,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.79,34212
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,140004,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5.0,,3.45,70002
98,Maruti Wagon R VXI BS IV,Bangalore,2016,124000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,4.45,62000
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,248004,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5.0,,2.65,124002
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,157916,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5.0,,3.8,78958
101,Hyundai i20 Asta 1.2,Mumbai,2014,60360,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,,4.65,30180
102,Datsun GO Plus T Petrol,Pune,2017,131404,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7.0,6.45 Lakh,3.95,65702
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,60000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5.0,,9.8,30000
104,Hyundai i20 2015-2017 Asta,Pune,2009,132000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,2.7,66000
105,Maruti Omni 5 Str STD,Coimbatore,2010,187700,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5.0,,2.41,93850
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,106000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5.0,6.41 Lakh,3.9,53000
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,156000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5.0,,24.0,78000
108,Mahindra XUV500 W8 2WD,Delhi,2012,130000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,,5.75,65000
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,80000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.25,40000
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,60000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,27 Lakh,19.25,30000
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,152212,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5.0,5.13 Lakh,3.91,76106
112,Tata Nano Twist XT,Bangalore,2014,51000,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,2.15,25500
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,224348,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,54.43 Lakh,20.75,112174
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,142176,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,3.35,71088
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,110000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,11.11,55000
116,Volvo V40 Cross Country D3,Bangalore,2014,65400,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5.0,,20.0,32700
117,Nissan Micra XV CVT,Coimbatore,2016,79764,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5.0,9.51 Lakh,6.55,39882
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,256000,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,5.0,,7.0,128000
119,Maruti Vitara Brezza VDi,Mumbai,2016,110000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9.96 Lakh,7.5,55000
121,Mercedes-Benz B Class B200 CDI,Pune,2014,215012,Diesel,Automatic,Second,15.0 kmpl,2143 CC,107.3 bhp,5.0,,16.75,107506
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,20500,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,14.44 Lakh,10.95,10250
123,Maruti Wagon R LXI BS IV,Pune,2011,87748,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.45,43874
124,Tata Nano XTA,Coimbatore,2017,65368,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4.0,,3.23,32684
125,Mahindra Scorpio VLX,Kolkata,2014,84000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,,7.75,42000
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,56704,Petrol,Automatic,First,11.7 kmpl,1796 CC,178 bhp,5.0,,9.35,28352
128,Honda CR-V 2.4 MT,Bangalore,2007,95400,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5.0,,5.25,47700
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,110000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5.0,,7.25,55000
130,Maruti Ciaz VXi Plus,Kochi,2017,177140,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,7.47,88570
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,108000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7.0,,13.25,54000
132,Maruti Ritz VXI ABS,Coimbatore,2016,60464,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5.0,,5.81,30232
133,Maruti Alto K10 VXI,Hyderabad,2014,177000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.53 Lakh,2.6,88500
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,26744,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2.0,95.04 Lakh,54.0,13372
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,50580,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,13.49 Lakh,11.5,25290
136,Maruti Alto LXi BSIII,Chennai,2010,377540,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.6,188770
137,BMW 1 Series 118d Base,Coimbatore,2015,127284,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5.0,,17.22,63642
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,24000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5.0,,6.0,12000
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,177156,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,3.95,88578
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,179860,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,,17.95,89930
141,Honda Amaze SX i-DTEC,Kolkata,2014,90088,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.7,45044
142,Maruti Swift VVT VXI,Kochi,2016,68408,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,,5.43,34204
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,364940,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,13.49,182470
145,Chevrolet Beat LT Option,Pune,2014,77600,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5.0,,2.85,38800
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,166000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5.0,,4.75,83000
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,165132,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,9.9,82566
148,Audi RS5 Coupe,Mumbai,2013,46000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4.0,1.28 Cr,37.0,23000
149,BMW 3 Series Luxury Line,Mumbai,2014,96000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,60.88 Lakh,26.5,48000
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,96428,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,23.32,48214
151,Maruti Swift VDI,Chennai,2016,70000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,6.25,35000
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,141108,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5.0,,30.0,70554
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,109240,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,,9.86,54620
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,547988,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5.0,,8.5,273994
155,Hyundai EON Magna Plus,Kochi,2019,28644,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,4.23,14322
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,131268,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3.5,65634
157,Datsun GO NXT,Kolkata,2016,12000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5.0,,2.5,6000
158,Honda Brio S MT,Kolkata,2013,66560,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,2.39,33280
159,Mercedes-Benz B Class B180,Delhi,2013,58000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5.0,,11.25,29000
160,Honda City i DTEC V,Kochi,2015,171324,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,7.11,85662
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,180000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,10.9,90000
162,Maruti Swift VXI Optional,Ahmedabad,2017,96020,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,6.2,48010
163,Mahindra XUV500 W8 2WD,Mumbai,2012,65584,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,7.9,32792
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,295796,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,4.42,147898
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,527060,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,13.5,263530
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,130000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5.0,,6.25,65000
167,Ford Figo Diesel Titanium,Jaipur,2010,264492,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,,2.1,132246
168,BMW X5 xDrive 30d,Mumbai,2015,82000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5.0,,45.0,41000
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,47100,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,33.66,23550
170,Honda Brio V MT,Bangalore,2012,90000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.65,45000
171,Hyundai i10 Magna 1.2,Delhi,2013,120000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.75,60000
172,Mercedes-Benz GLC 220,Bangalore,2016,88828,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5.0,,42.5,44414
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,2000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.39 Lakh,6.5,1000
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,125000,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5.0,,19.0,62500
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,42000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,103.6 bhp,5.0,,4.45,21000
176,Mini Countryman Cooper D,Jaipur,2017,34100,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5.0,,23.0,17050
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,58000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,8.35,29000
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,80000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,22.95,40000
179,Chevrolet Beat Diesel LT,Jaipur,2012,176000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,1.5,88000
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,214148,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,6.89,107074
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,432000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5.0,,1.45,216000
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,102000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,69.47 Lakh,33.5,51000
